dataset_name,batch_size,ap_0.5,train_time,peak_memory
cellpose_specialized,1,0.8604875802993774,3112719.4027900696,6634.0
cellpose_specialized,2,0.8391814827919006,2150886.9757652283,10340.0
cellpose_specialized,4,0.8535715341567993,2139362.689256668,17684.0
cellseg_blood,1,0.9333715438842772,3889524.384737015,6476.0
cellseg_blood,2,0.8737081289291382,2679946.840524673,10246.0
cellseg_blood,4,0.8988966941833496,2673248.322248459,17702.0
deepbacs_rod_brightfield,1,0.8103699088096619,4276050.362586975,7558.0
deepbacs_rod_brightfield,2,0.8216654658317566,3098792.137861252,11660.0
deepbacs_rod_brightfield,4,0.8314384818077087,3162561.158895493,19546.0
deepbacs_rod_fluorescence,1,0.83183354139328,4201253.849983215,7000.0
deepbacs_rod_fluorescence,2,0.816475510597229,2922944.3736076355,10920.0
deepbacs_rod_fluorescence,4,0.8106474876403809,2910274.0964889526,18258.0
dsb2018_stardist,1,0.8665677905082703,3072592.3731327057,6710.0
dsb2018_stardist,2,0.8768141269683838,2197383.0692768097,10524.0
dsb2018_stardist,4,0.872525691986084,2231139.946937561,17720.0
