train_dataset_name,TSN-1,TSN-2,TSN-3,TSN-4,TSN-5,TSN-6,TSN-7,TSN-8,TSN-9,TSN-10,TSN-11,TSN-12,TSN-13,TSN-14
TSN-1,0.759508,0.4944934,0.29933867,0.16269618,0.31884447,0.18301682,0.10508688,0.2297132,0.14965,0.47663283,0.34291685,0.39985308,0.2500062,0.14577927
TSN-2,0.7747812,0.7071638,0.6409785,0.43529615,0.5848401,0.33668742,0.4690174,0.45826334,0.3324621,0.7216834,0.6106157,0.6891388,0.6699288,0.40270987
TSN-3,0.7313513,0.4775888,0.8728123,0.22142117,0.38463655,0.7265591,0.22036743,0.65498704,0.849178,0.84000045,0.3085819,0.86447096,0.789799,0.85285884
TSN-4,0.8089941,0.75728095,0.82018894,0.8268873,0.8438347,0.6108539,0.87166506,0.6995538,0.78916955,0.7769463,0.79897875,0.7719317,0.84398115,0.80362594
TSN-5,0.8107083,0.7402659,0.71534497,0.67316496,0.805707,0.48253947,0.75434095,0.58155215,0.6815854,0.8002965,0.8007812,0.7591765,0.75576967,0.72730017
TSN-6,0.40516946,0.20035179,0.6936211,0.031935997,0.16288348,0.78701127,0.033816762,0.4319159,0.8341898,0.62684506,0.037872132,0.70918226,0.49265316,0.8373229
TSN-7,0.7479821,0.750423,0.7308537,0.8236705,0.85003644,0.40900114,0.908138,0.71454567,0.7399632,0.54742306,0.7670924,0.64993995,0.8357096,0.58711064
TSN-8,0.78292257,0.6185526,0.854778,0.5976272,0.6034679,0.7190062,0.60407877,0.7874549,0.7538478,0.8514005,0.6224257,0.8656849,0.87795687,0.82833445
TSN-9,0.47994295,0.21219817,0.7847303,0.10454205,0.14935593,0.66308224,0.04586984,0.47619647,0.89863133,0.7378104,0.191559,0.7895301,0.4586742,0.8652677
TSN-10,0.5607547,0.27063978,0.7448888,0.07923512,0.2507172,0.5906719,0.047492478,0.48582858,0.66329885,0.8528953,0.08903324,0.81601435,0.55743736,0.79605705
TSN-11,0.81003314,0.6846325,0.7194467,0.642748,0.7702405,0.49179468,0.57565486,0.45867297,0.43158624,0.8147727,0.8179383,0.796236,0.6636802,0.7155509
TSN-12,0.6920893,0.5405081,0.81725425,0.24654824,0.46173474,0.7232048,0.295803,0.58445644,0.73666775,0.8247287,0.35056457,0.84697515,0.7815021,0.83821905
TSN-13,0.8408291,0.731634,0.8398156,0.6271961,0.7063017,0.60052735,0.7317447,0.7386662,0.74514276,0.85019344,0.7476639,0.84085816,0.90045476,0.79787606
TSN-14,0.47801685,0.19759798,0.7818319,0.055331435,0.14064239,0.70259225,0.041501455,0.42699856,0.8605871,0.70704883,0.08803541,0.7884927,0.4658066,0.8958144
