train_dataset_name,TSN-1,TSN-2,TSN-3,TSN-4,TSN-5,TSN-6,TSN-7,TSN-8,TSN-9,TSN-10,TSN-11,TSN-12,TSN-13,TSN-14
TSN-1,0.85324895,0.74584883,0.48154378,0.507474,0.7021212,0.33201057,0.669519,0.30294994,0.22531004,0.7279298,0.661548,0.6348035,0.52855545,0.4874354
TSN-2,0.79854953,0.78373206,0.7124225,0.6436412,0.7526658,0.4706139,0.76301354,0.5101508,0.64955175,0.775918,0.7677253,0.7324267,0.73700416,0.6914503
TSN-3,0.6794934,0.6778201,0.87724805,0.59749544,0.65430075,0.7514057,0.75380504,0.7466772,0.8364761,0.8664268,0.73591715,0.87128085,0.8281807,0.8677331
TSN-4,0.70022696,0.7197114,0.7908412,0.8238424,0.8627751,0.52121276,0.86891156,0.6181678,0.73461425,0.83422345,0.8099823,0.79970866,0.80716175,0.7824411
TSN-5,0.7001031,0.7002954,0.72291195,0.6982464,0.8334985,0.51751935,0.83158,0.50655127,0.72045654,0.7531573,0.8394794,0.7397857,0.70720345,0.7808431
TSN-6,0.72561103,0.7247242,0.8182853,0.33957565,0.5209923,0.7821833,0.50657195,0.5907074,0.84067744,0.81475466,0.5492596,0.83423764,0.76842684,0.8624711
TSN-7,0.6558766,0.7098126,0.7096201,0.79562134,0.8428743,0.26685777,0.8879906,0.61979085,0.72687906,0.5945924,0.7671254,0.5568363,0.6823119,0.5325545
TSN-8,0.5253216,0.5851978,0.84420276,0.5398757,0.63212794,0.7065569,0.655864,0.7921143,0.7589499,0.86656475,0.536834,0.860087,0.87397194,0.8335788
TSN-9,0.6150511,0.70352536,0.8277533,0.56006986,0.6606738,0.6950045,0.75490445,0.7273632,0.8851443,0.7677104,0.73131555,0.7694528,0.83597875,0.84080327
TSN-10,0.7335895,0.7177649,0.836124,0.6552113,0.78359514,0.672411,0.81225806,0.6485666,0.8251085,0.8796701,0.7989838,0.8531695,0.79317683,0.84343255
TSN-11,0.7360411,0.7280263,0.74723244,0.7311431,0.85021955,0.53664464,0.833505,0.55942065,0.6685259,0.8159016,0.8510532,0.78060865,0.7229333,0.7889299
TSN-12,0.6248104,0.6662272,0.81959885,0.57431537,0.68749136,0.6747616,0.74979585,0.60733837,0.7710106,0.8214027,0.7186796,0.87375873,0.7617566,0.8437184
TSN-13,0.596972,0.6650211,0.8117801,0.7117965,0.7586212,0.6455355,0.802968,0.77094305,0.8099247,0.79536974,0.7707124,0.7999746,0.88474214,0.8271477
TSN-14,0.39851737,0.5876381,0.81806916,0.43020073,0.53881365,0.7363497,0.62438095,0.6687824,0.84716153,0.72352934,0.5386558,0.8390522,0.75709915,0.87964183
